A48 (MultiMark)	FZ_MM_base	ICUTTER	A48 MultiMark	1200	96
A60 (MultiMark)	FZ_MM_base	ICUTTER	A60 MultiMark	1530	96
					
S12 Pro (AutoMark)	FZ_SPAML2_base	ICUTTER	S12 Pro AutoMark	305	112
S24 Pro (AutoMark)	FZ_SPAML2_base	ICUTTER	S24 Pro AutoMark	610	112
S48 Pro (AutoMark)	FZ_SPAML2_base	ICUTTER	S48 Pro AutoMark	1220	112
S60 Pro (AutoMark)	FZ_SPAML2_base	ICUTTER	S60 Pro AutoMark	1524	112
					
GCC RX61	GCC_V1_Base	GCC	RX61	610	59	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC RX101	GCC_V1_Base	GCC	RX101	1010	59	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC RX132	GCC_V1_Base	GCC	RX132	1320	59	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC RX183	GCC_V1_Base	GCC	RX183	1830	59	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC Jaguar IV 61	GCC_V1_Base	GCC	Jaguar IV 61	610	59	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC Jaguar IV 101	GCC_V1_Base	GCC	Jaguar IV 101	1010	59	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC Jaguar IV 132	GCC_V1_Base	GCC	Jaguar IV 132	1320	59	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC Jaguar IV 183	GCC_V1_Base	GCC	Jaguar IV 183	1830	59	1,120,40,5,0,g	3,51,24,3,0,cm/s

GCC i-Craft	GCC_V1_ICRAFT_Base	GCC	i-Craft	300	59	1,70,40,5,0,g	3,10,7,3,0,cm/s

GCC Expert 24 LX	GCC_V1_Base	GCC	Expert 24 LX	600	59	1,50,40,5,0,g	3,13,10,3,0,cm/s
GCC Expert 52 LX	GCC_V1_Base	GCC	Expert 52 LX	1320	59	1,50,40,5,0,g	3,13,10,3,0,cm/s
GCC Expert II 52 LX	GCC_V1_Base	GCC	Expert II 52 LX	1320	59	1,70,40,5,0,g	3,15,10,3,0,cm/s
GCC Expert II 24 LX	GCC_V1_Base	GCC	Expert II 24 LX	600	59	1,70,40,5,0,g	3,17,10,3,0,cm/s
GCC Puma III 60	GCC_V1_Base	GCC	Puma III 60	600	59	1,80,40,5,0,g	3,20,10,3,0,cm/s
GCC Puma III 132	GCC_V1_Base	GCC	Puma III 132	1320	59	1,80,40,5,0,g	3,20,10,3,0,cm/s
GCC RX II 61	GCC_V2_Base	GCC	RX II 61	610	59	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC RX II 101	GCC_V2_Base	GCC	RX II 101	1010	59	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC RX II 132	GCC_V2_Base	GCC	RX II 132	1320	59	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC RX II 183	GCC_V2_Base	GCC	RX II 183	1830	59	1,120,40,5,0,g	3,51,24,3,0,cm/s
